wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,Ohne Sperrvermerk,Mit Sperrvermerk,Nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU,CDU,SPD,SPD,GR�NE,GR�NE,FDP,FDP,DIE LINKE,DIE LINKE,PIRATEN,PIRATEN,pro NRW,pro NRW,NPD,NPD,Tierschutzpartei,Tierschutzpartei,FAMILIE,FAMILIE,BIG,BIG,Die PARTEI,Die PARTEI,�DP,�DP,FBI/Freie W�hler,FBI/Freie W�hler,AUF,AUF,FREIE W�HLER,FREIE W�HLER,Partei der Vernunft,Partei der Vernunft
13.05.2012,Landtagswahl NRW,107,5911000,4210,866,786,80,0,320,0,9,9,311,311,47,43,170,144,17,19,6,10,12,7,59,49,,11,,5,,8,,2,,6,,5,,0,,0,,1,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,4301,1074,934,140,0,449,0,7,13,442,436,58,51,255,224,35,52,11,21,19,11,64,50,,9,,5,,8,,0,,0,,2,,0,,0,,1,,0,,2
13.05.2012,Landtagswahl NRW,107,5911000,4302,541,488,53,0,197,0,1,2,196,195,14,12,96,88,24,32,2,6,23,20,37,27,,5,,0,,3,,1,,0,,0,,0,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,4303,847,737,110,0,376,0,11,12,365,364,52,42,230,208,12,24,6,11,9,14,56,47,,5,,2,,5,,0,,1,,3,,0,,2,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,4304,694,602,92,0,336,1,1,1,335,335,39,36,149,117,53,82,7,9,19,19,68,58,,5,,1,,3,,0,,0,,1,,3,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,4305,811,692,119,0,321,0,2,3,319,318,46,43,172,124,33,54,5,8,16,18,47,54,,5,,3,,1,,1,,1,,4,,1,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,4306,868,740,128,0,365,1,2,5,363,360,71,57,185,163,33,40,14,18,20,26,40,39,,4,,1,,1,,1,,5,,0,,1,,0,,0,,4,,0
13.05.2012,Landtagswahl NRW,107,5911000,4307,830,710,120,0,371,0,2,4,369,367,58,52,169,142,52,64,11,13,22,23,57,51,,5,,5,,3,,2,,0,,3,,3,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,4308,658,512,146,0,313,0,2,1,311,312,91,88,153,123,24,38,12,21,7,8,24,25,,3,,0,,3,,0,,0,,2,,0,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,4309,810,706,104,0,338,0,17,11,321,327,69,69,188,162,9,19,13,14,17,17,25,22,,10,,3,,3,,4,,3,,0,,0,,0,,0,,1,,0
