wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte insgesamt,ohne Vermerk W,mit Vermerk W,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU ,CDU,SPD,SPD,FDP,FDP,GR�NE,GR�NE,DIE LINKE,DIE LINKE,Piraten,Piraten,NPD,NPD,REP,REP,B�ndnis 21 / RRP,B�ndnis 21 /RRP,Volksabstimmung,Volksabstimmung,�DP,�DP,MLPD,MLPD,B�So,B�So,PSG,PSG,AfD,AfD,BIG,BIG,pro Deutschland,pro Deutschland,Die Rechte,Die Rechte,FREIE W�HLER,FREIE W�HLER,Partei der Nichtw�hler,Partei der Nichtw�hler,Partei der Vernunft,Partei der Vernunft,Die PARTEI,Die PARTEI
22.09.2013,Bundestagswahl,140,5911000,2208,884,711,173,0,431,3,8,7,423,424,126,107,215,191,2,6,16,27,32,41,14,8,16,13,,1,,1,,1,,0,2,1,,0,,0,,17,,1,,3,,0,,3,,0,,0,,3
22.09.2013,Bundestagswahl,140,5911000,2209,860,679,181,0,447,0,5,2,442,445,145,123,223,197,5,14,12,24,28,23,12,11,17,11,,4,,0,,0,,2,0,0,,0,,0,,31,,0,,1,,0,,2,,2,,0,,0
22.09.2013,Bundestagswahl,140,5911000,2210,840,654,186,0,431,1,7,6,424,425,150,133,197,172,4,13,26,35,21,22,18,12,8,7,,0,,0,,1,,1,0,0,,1,,0,,16,,3,,4,,1,,2,,0,,0,,2
22.09.2013,Bundestagswahl,140,5911000,2301,831,663,168,0,356,0,3,3,353,353,93,82,175,159,6,6,17,25,31,29,18,13,13,7,,0,,0,,0,,0,0,1,,0,,0,,25,,1,,0,,0,,4,,0,,0,,1
22.09.2013,Bundestagswahl,140,5911000,2302,980,861,119,0,384,0,8,7,376,377,110,106,165,157,4,7,18,19,41,44,20,9,18,10,,1,,0,,0,,1,0,0,,0,,0,,21,,0,,0,,0,,0,,0,,0,,2
22.09.2013,Bundestagswahl,140,5911000,2303,1108,915,193,0,577,0,7,5,570,572,163,133,286,268,4,15,25,35,50,50,20,16,21,13,,1,,0,,1,,0,1,1,,0,,1,,32,,2,,1,,1,,0,,0,,0,,2
22.09.2013,Bundestagswahl,140,5911000,2304,999,818,181,0,463,0,13,9,450,454,147,124,216,214,4,9,17,17,39,36,7,11,20,14,,2,,0,,0,,0,0,0,,0,,0,,20,,1,,1,,0,,1,,1,,0,,3
22.09.2013,Bundestagswahl,140,5911000,2305,944,763,181,0,432,1,1,1,431,431,134,127,183,163,11,20,32,40,47,44,8,5,15,15,,0,,1,,0,,2,1,1,,0,,0,,8,,2,,0,,0,,0,,0,,0,,3
22.09.2013,Bundestagswahl,140,5911000,2306,872,765,107,0,350,0,4,3,346,347,101,88,155,143,2,8,9,10,30,34,18,14,29,11,,1,,0,,0,,1,2,2,,0,,0,,26,,0,,5,,0,,0,,0,,0,,4
22.09.2013,Bundestagswahl,140,5911000,2307,700,610,90,0,304,0,7,8,297,296,75,68,155,132,1,5,8,14,26,31,15,12,16,10,,1,,0,,0,,0,1,1,,0,,0,,14,,2,,3,,2,,0,,0,,0,,1
